placeInfo/name,placeInfo/rating,theme,placeInfo/address,placeInfo/latitude,placeInfo/longitude,placeInfo/webUrl,rating,text,placeInfo/numberOfReviews,lang
The Escape Hotel,4.7, Escape room center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Spooky yet fun place to try.. with different levels from easy to hard I ...,735,en
The Escape Hotel,4.7, Escape room center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Spooky yet fun place to try.. with different levels from easy to hard I ...,735,en
Al Haeer Park Khamsa Khamsa,3.8, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Super nice place away from city crowd.,451,en
VOX Cinema,4.2, Movie theater,Hail Saudi Arabia,27.50477788,41.72005875,,2,temperatures is very low so it's very cold inside the theater.,525,en
Escape the Room,4.8, Escape room center,Al Khobar Saudi Arabia,26.25552659,50.20890577,,5,The best entertainment place in Khobar.,3200,en
Terhal,5, Concert hall,Diriyah Saudi Arabia,24.74969951,46.53795134,,2,"The food is not allowed inside the theater, so eat and drink your ...",65,en
Terhal,5, Concert hall,Diriyah Saudi Arabia,24.74969951,46.53795134,,2,"The food is not allowed inside the theater, so eat and drink your ...",65,en
Scitech,4.3, Science museum,Al Khobar Saudi Arabia,26.25552659,50.20890577,,5,The movie theater is cool...,6300,en
Planet X,3.9, Amusement center,Riyadh Saudi Arabia · In The Zone,24.72125541,46.67108133,,4,The place has a hydraulic driving rig with a bunch of games on it.,109,en
Planet X,3.9, Amusement center,Riyadh Saudi Arabia · In The Zone,24.72125541,46.67108133,,4,The place has a hydraulic driving rig with a bunch of games on it.,109,en
Sparky's | سباركيز,3.8, Amusement center,Dammam Saudi Arabia · In Dareen Mall,26.41187358,50.0904657,,5,This place is the best in area they have too much games and kids ...,1100,en
أفاتار للترفية,3.7, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Vary fun place , they can easily spend 6 hours without notice 😍😍",725,en
أفاتار للترفية,3.7, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Vary fun place , they can easily spend 6 hours without notice 😍😍",725,en
Jeddah Superdome,4.3, Event venue,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Very big theater for all kind of shows,5100,en
Snowy Forest,3.6, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Very entertaining place with very humble and great staff,1100,en
Muvi Suites Cinemas | موڤي سويتس سينما,3.5, Movie theater,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Very fancy and cozy place.,274,en
Muvi Suites Cinemas | موڤي سويتس سينما,3.5, Movie theater,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Very fancy and cozy place.,274,en
ڤوكس سينما تبوك بارك,4, Movie theater,Tabuk Saudi Arabia · In Tabuk Park,28.3967879,36.55626638,,5,Very fancy and cozy place.,336,en
Magic Planet Riyadh Park - ماجيك بلانيت الرياض بارك,3.7, Amusement center,Riyadh Saudi Arabia · In Riyadh Park,24.72125541,46.67108133,,5,Very fun place for the kids.. Only problem is traffic ...,398,en
Magic Planet Riyadh Park - ماجيك بلانيت الرياض بارك,3.7, Amusement center,Riyadh Saudi Arabia · In Riyadh Park,24.72125541,46.67108133,,5,Very fun place for the kids.. Only problem is traffic ...,398,en
Muvi Cinemas | موڤي سينما,4.3, Movie theater,Al Hofuf Saudi Arabia · In Al Ahsa Mall by Arabian Centres,25.36707337,49.58994411,,5,"Very good place, great experience",1900,en
Park near Museum,4.1, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Very nice and well maintained place Good for morning & evening ...,8,en
Park near Museum,4.1, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Very nice and well maintained place Good for morning & evening ...,8,en
Riyadh Front - Shopping Area,4.5, Shopping mall,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Very nice mall with Cinema theater facility,2500,en
Go Bowling & Laser Strike | Makan Mall,4.2, Video arcade,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Very nice place for entertainment❤❤❤,283,en
Benchmark Stage,4.3, Live Music,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Very nice theater setup.,219,en
Benchmark Stage,4.3, Live Music,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,Very nice theater setup.,219,en
Wadi Namar Waterfall,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Wadi Nimar in Riyadh is my favorite place for entertainment,5900,en
VOX Cinemas,4.4, Movie theater,Jeddah Saudi Arabia · In Town Square,21.4973944,39.16131511,,5,Wide and clean space.,2800,en
Umluj Beach,4.4, State park,Umluj Saudi Arabia,25.05268064,37.26192837,,5,Clear-water beach for diving & birding,1200,en
"Staybridge Suites al Khobar, an IHG Hotel",4.5, Hotel,Al Khobar Saudi Arabia,26.25552659,50.20890577,,4,Contemporary all-suite hotel with a pool,1900,en
King Abdulaziz Center for World Culture - Ithra,4.6, Movie theater,Dhahran Saudi Arabia,26.23408143,50.02504659,,4,Cultural center with a striking design,5200,en
Chifty شفتي,4.1, ₹₹₹₹ ,Riyadh Saudi Arabia,24.72125541,46.67108133,,4,"Hip place with global eats, shisha & DJs",1700,en
ALNakheel Park,4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"Lawns, palm trees & sports facilities",2300,en
Wadi Park,4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Palm-shaded park for walks & kids’ games,2400,en
"Crowne Plaza al Khobar, an IHG Hotel",4.4, Hotel,Al Khobar Saudi Arabia,26.25552659,50.20890577,,4,Upmarket hotel with fine dining,5200,en
Cinépolis Cinemas - Lulu Mall,4, Movie theater,Dammam Saudi Arabia · In LuLu Mall - Dammam,26.41187358,50.0904657,,5,Upscale digital movie theater,1300,en
King Khalid Grand Mosque,4.8, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Worship hall with stain-glass windows,10000,en
Oz Lounge,3.8, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,,,743,
Oz Lounge,3.8, Amusement center,Riyadh Saudi Arabia,24.72125541,46.67108133,,,,743,
روضة الخرارة,4.2, State park,Al-Muzahmiya Saudi Arabia,24.47116747,46.27099427,,,,3500,
Alsafat Square,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,,,1100,
Saudi Discovery,4.9, Travel agency,Riyadh Saudi Arabia,24.72125541,46.67108133,,,,15,
Al Orjouan,4.3, Buffet,"Riyadh Saudi Arabia · In The Ritz-Carlton, Riyadh",24.72125541,46.67108133,,,,705,
