placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"خط المدينه, Almunshiyah Al Jadidah, Tabuk 47914, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipMhNcKYuLghjn3qTcrgS0m7vp9FBESpJAm8X2Fg=w533-h240-k-no,28.3821073,36.569512,ChIJhyMb2-qtqRURXs4YEJbaa6w,3,5,,,مطعم ركن عدن,5,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%B1%D9%83%D9%86%20%D8%B9%D8%AF%D9%86&query_place_id=ChIJhyMb2-qtqRURXs4YEJbaa6w
"شارع المطاعم, Alulaya, Tabuk 47911, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipMSFuwOT72xfx2WIY67cvfnW1RVqh3vFVWGtRCW=w514-h240-k-no,28.3833301,36.5810847,ChIJv5SrchytqRURJCEwQ0WfPzE,2028,3,,,Albasha Restaurant,3.7,https://www.google.com/maps/search/?api=1&query=Albasha%20Restaurant&query_place_id=ChIJv5SrchytqRURJCEwQ0WfPzE
"Sharalam, Tabuk 47914, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipO8ZaxsyL8spqR4c0vSXsbGqsJZ0HBlIgZNJpVU=w408-h725-k-no,28.3850383,36.561308,ChIJY0hR-c-tqRUROoMxBITsXbQ,128,4,,,Al Arab Restaurant Sharalaam مطعم بلدة العرب لتقديم الوجبات,4.1,https://www.google.com/maps/search/?api=1&query=Al%20Arab%20Restaurant%20Sharalaam%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A8%D9%84%D8%AF%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%20%D9%84%D8%AA%D9%82%D8%AF%D9%8A%D9%85%20%D8%A7%D9%84%D9%88%D8%AC%D8%A8%D8%A7%D8%AA&query_place_id=ChIJY0hR-c-tqRUROoMxBITsXbQ
Raghdan، Al Baha Saudi Arabia,Restaurant,Al Baha,https://lh5.googleusercontent.com/p/AF1QipP2u0cn8VNKt_GiPzfpaa2-GbEiBLf4DmpKtxKD=w408-h272-k-no,20.0440394,41.4474529,ChIJw-6mkfxF7xURWoKpdVZSJ5o,1736,2,,,Al Bustan Restaurant - مطعم البستان,3.3,https://www.google.com/maps/search/?api=1&query=Al%20Bustan%20Restaurant%20-%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%A8%D8%B3%D8%AA%D8%A7%D9%86&query_place_id=ChIJw-6mkfxF7xURWoKpdVZSJ5o
"Al-Madinah Al-Munawarah Rd, Al Bawadi, Jeddah 21512, Saudi Arabia",Restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipP5ncrUnOnVO6kMZpKzE--_ZCs1Mf9X3_ewZ68i=w408-h272-k-no,21.6054741,39.1577483,ChIJMUyUXMbRwxURWJw6e2je4e8,19,5,,,Al Deira Restaurant,4.5,https://www.google.com/maps/search/?api=1&query=Al%20Deira%20Restaurant&query_place_id=ChIJMUyUXMbRwxURWJw6e2je4e8
"2F56+5GH, King Khalid Rd, Town Center, Al Bahah 65522, Saudi Arabia",Restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipMhdS5FlqLTh9rRohUZM2ZjgKp3Ds3q8nqOnhQr=w408-h408-k-no,20.0079459,41.4613707,ChIJex4xh71F7xURq3DnG8QZ1BY,643,5,,,مطعم عالفحم,3.7,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%B9%D8%A7%D9%84%D9%81%D8%AD%D9%85&query_place_id=ChIJex4xh71F7xURq3DnG8QZ1BY
"6779 King Khalid Rd, Alulaya, 4040, Tabuk 47911, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipPlFufanUnEQHsxoioCeYYe6k_pOOg_2Z569QiO=w408-h306-k-no,28.3811046,36.5853411,ChIJD0RzWlmtqRURIaQQBUJ69xs,25,3,,,مطاعم الفنارة البادية,4.4,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%A7%D8%B9%D9%85%20%D8%A7%D9%84%D9%81%D9%86%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A8%D8%A7%D8%AF%D9%8A%D8%A9&query_place_id=ChIJD0RzWlmtqRURIaQQBUJ69xs
"وسط المدينة-مقابل برج الباحة, Al Bahah Saudi Arabia",Restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipOeCqhonBlcQPOi6yebhDKbQoarwVu0JhV20_jx=w408-h306-k-no,20.0120226,41.4655497,ChIJURKH6t9H7xURJIoI18jAJOQ,716,5,,,Al Najah Broast بروست النجاح,3.8,https://www.google.com/maps/search/?api=1&query=Al%20Najah%20Broast%20%D8%A8%D8%B1%D9%88%D8%B3%D8%AA%20%D8%A7%D9%84%D9%86%D8%AC%D8%A7%D8%AD&query_place_id=ChIJURKH6t9H7xURJIoI18jAJOQ
"King Abdallah Rd, An Naseem, Jeddah 21332, Saudi Arabia",Restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipP92hM2r0_4N693yCjq6CnDHLK-DNkwhDN-r7j6=w408-h544-k-no,21.5113108,39.2273409,ChIJoZglXyHPwxURYNWBx8xM9Gc,9,5,,,Al Liwan Restaurant,5,https://www.google.com/maps/search/?api=1&query=Al%20Liwan%20Restaurant&query_place_id=ChIJoZglXyHPwxURYNWBx8xM9Gc
"حي, Al Kurnaysh Br Rd, Ash Shati, Jeddah 23413, Saudi Arabia",Restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMfkDwIwU59bUk-HrdHUYJ-GFFWfGanTtdvCfrz=w408-h313-k-no,21.5645709,39.1119218,ChIJh_DJ9inbwxUR0N9frVfFbdI,8419,5,,,Al Nakheel Restaurant,3.9,https://www.google.com/maps/search/?api=1&query=Al%20Nakheel%20Restaurant&query_place_id=ChIJh_DJ9inbwxUR0N9frVfFbdI
"King Fahd Rd, Alra'ib, Al Bahah 65528, Saudi Arabia",Restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipPv2sTd7d_lOWzfJ4dG64dLvgsMuSIj3z-5Lx1z=w408-h330-k-no,20.0149797,41.4699095,ChIJQ-e2gx5F7xURO58TdqQASKk,18,5,,,مطعم حرفة الريف البخاري,4.3,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%AD%D8%B1%D9%81%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D9%81%20%D8%A7%D9%84%D8%A8%D8%AE%D8%A7%D8%B1%D9%8A&query_place_id=ChIJQ-e2gx5F7xURO58TdqQASKk
"Al Amariyah, As Sulimaniyah, Riyadh 12232, Saudi Arabia",Restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipMGqky5PS6ScazLsce0S-HE7Fh30jxP-BlKsG25=w408-h269-k-no,24.6957429,46.7031135,ChIJuWlIE3MDLz4RsC-64x064s8,4788,3,,,Al Saudi Restaurant,3.9,https://www.google.com/maps/search/?api=1&query=Al%20Saudi%20Restaurant&query_place_id=ChIJuWlIE3MDLz4RsC-64x064s8
"7443 طريق الجنوب 2317, Al Bahah 65722, Saudi Arabia",Restaurant,Al Bahah,https://lh5.googleusercontent.com/p/AF1QipOTxB1icmMEWFlpB-zc-UbB-NJpJanESQ-4DyK5=w408-h287-k-no,20.0659041,41.4493884,ChIJM0zIcSVG7xURq01s3jZaAnA,835,4,,,Altawon Restaurant And Bakery,3.9,https://www.google.com/maps/search/?api=1&query=Altawon%20Restaurant%20And%20Bakery&query_place_id=ChIJM0zIcSVG7xURq01s3jZaAnA
"Al Imam Muhamed Ibn Saud, Alkhalidiyah, Abha 61521, Saudi Arabia",Restaurant,Abha,https://lh5.googleusercontent.com/p/AF1QipNVZl1d3fucnZgGn-zOd2IZhXyKpqaWxGzGdJOZ=w408-h541-k-no,18.2211695,42.4906158,ChIJ76V64DFV4xUR7W2hHkY3BkM,63,5,,,مطعم الشجرة,3.6,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%B4%D8%AC%D8%B1%D8%A9&query_place_id=ChIJ76V64DFV4xUR7W2hHkY3BkM
